Date,Open,High,Low,Close,Volume,Adj Close
"Oct 14, 2013","15,231.30","15,309.50","15,136.40","15,301.30","814,200","15,301.30"
"Oct 11, 2013","15,126.50","15,237.30","15,100.10","15,237.10","857,300","15,237.10"
"Oct 10, 2013","14,806.40","15,126.10","14,806.40","15,126.10","1,065,400","15,126.10"
"Oct 9, 2013","14,778.20","14,852.50","14,719.40","14,803.00","1,031,900","14,803.00"
"Oct 8, 2013","14,938.00","14,938.00","14,773.50","14,776.50","1,026,900","14,776.50"
"Oct 7, 2013","15,069.30","15,069.30","14,920.80","14,936.20","796,200","14,936.20"
"Oct 4, 2013","14,994.70","15,084.00","14,972.30","15,072.60","751,000","15,072.60"
"Oct 3, 2013","15,127.20","15,127.20","14,947.00","14,996.50","913,000","14,996.50"
"Oct 2, 2013","15,182.70","15,182.70","15,044.70","15,133.10","860,900","15,133.10"
"Oct 1, 2013","15,132.50","15,208.40","15,110.30","15,191.70","824,600","15,191.70"
"Sep 30, 2013","15,249.80","15,249.80","15,086.70","15,129.70","1,223,300","15,129.70"
"Sep 27, 2013","15,317.50","15,317.50","15,211.80","15,258.20","956,600","15,258.20"
"Sep 26, 2013","15,274.40","15,387.20","15,274.40","15,328.30","790,500","15,328.30"
"Sep 25, 2013","15,339.00","15,372.50","15,253.20","15,273.30","818,900","15,273.30"
"Sep 24, 2013","15,402.50","15,433.80","15,327.10","15,334.60","854,300","15,334.60"
"Sep 23, 2013","15,452.30","15,467.00","15,368.30","15,401.40","949,200","15,401.40"
"Sep 20, 2013","15,635.10","15,654.80","15,448.10","15,451.10","3,796,500","15,451.10"
"Sep 19, 2013","15,677.90","15,695.90","15,625.50","15,636.60","1,162,800","15,636.60"
"Sep 18, 2013","15,533.00","15,709.60","15,470.20","15,676.90","1,454,100","15,676.90"
"Sep 17, 2013","15,503.20","15,555.10","15,503.20","15,529.70","1,044,800","15,529.70"
"Sep 16, 2013","15,381.40","15,549.90","15,381.40","15,494.80","1,057,400","15,494.80"
"Sep 13, 2013","15,312.90","15,381.00","15,312.90","15,376.10","908,900","15,376.10"
"Sep 12, 2013","15,327.10","15,345.30","15,283.30","15,300.60","997,600","15,300.60"
"Sep 11, 2013","15,194.10","15,326.60","15,194.10","15,326.60","1,020,900","15,326.60"
"Sep 10, 2013","15,067.20","15,192.10","15,067.20","15,191.10","1,032,000","15,191.10"
"Sep 9, 2013","14,927.20","15,088.40","14,927.20","15,063.10","906,600","15,063.10"
"Sep 6, 2013","14,941.60","15,009.80","14,789.40","14,922.50","1,084,100","14,922.50"
"Sep 5, 2013","14,929.50","14,987.50","14,923.30","14,937.50","1,010,100","14,937.50"
"Sep 4, 2013","14,832.40","14,956.70","14,799.10","14,930.90","1,221,500","14,930.90"
"Sep 3, 2013","14,801.60","14,933.40","14,777.50","14,834.00","1,425,300","14,834.00"
"Aug 30, 2013","14,844.10","14,848.20","14,762.40","14,810.30","1,358,500","14,810.30"
"Aug 29, 2013","14,817.90","14,916.00","14,792.10","14,841.00","931,700","14,841.00"
"Aug 28, 2013","14,771.00","14,867.40","14,760.40","14,824.50","1,046,200","14,824.50"
"Aug 27, 2013","14,939.30","14,939.30","14,765.40","14,776.10","1,186,100","14,776.10"
"Aug 26, 2013","15,014.60","15,050.00","14,945.20","14,946.50","1,028,200","14,946.50"
"Aug 23, 2013","14,988.80","15,025.60","14,931.20","15,010.50","1,318,600","15,010.50"
"Aug 22, 2013","14,908.60","14,989.10","14,899.00","14,963.70","1,534,900","14,963.70"
"Aug 21, 2013","14,993.80","15,019.70","14,880.80","14,897.60","983,400","14,897.60"
"Aug 20, 2013","15,011.80","15,074.90","14,992.20","15,003.00","1,023,400","15,003.00"
